Latitude__,Longitude,Month,Year,Encounters
-13.981,131.214,6,2021,1
-13.98,131.213,6,2021,1
-13.979,131.213,6,2021,1
-13.978,131.213,6,2021,1
-13.976,131.213,6,2021,1
-13.969,131.2,6,2021,1
-13.968,131.203,6,2021,1
-13.968,131.204,6,2021,1
-13.968,131.212,6,2021,1
-13.967,131.206,6,2021,1
-13.967,131.207,6,2021,1
-13.967,131.208,6,2021,1
-13.967,131.209,6,2021,2
-13.967,131.21,6,2021,1
-13.964,131.194,6,2021,3
-13.963,131.194,6,2021,3
-13.961,131.193,6,2021,1
-13.958,131.194,6,2021,3
-13.955,131.194,6,2021,2
-13.952,131.195,6,2021,1
-13.951,130.854,6,2021,1
-13.95,130.848,6,2021,2
-13.95,130.85,6,2021,1
-13.95,130.851,6,2021,2
-13.95,130.856,6,2021,1
-13.949,130.844,6,2021,2
-13.949,130.846,6,2021,1
-13.949,131.195,6,2021,1
-13.948,130.843,6,2021,2
-13.948,130.857,6,2021,1
-13.947,130.857,6,2021,1
-13.947,130.858,6,2021,2
-13.946,130.841,6,2021,2
-13.946,130.842,6,2021,4
-13.944,130.841,6,2021,1
-13.944,130.862,6,2021,2
-13.944,130.863,6,2021,1
-13.944,131.193,6,2021,1
-13.944,131.194,6,2021,1
-13.943,130.84,6,2021,3
-13.943,130.864,6,2021,1
-13.943,130.865,6,2021,1
-13.943,130.867,6,2021,2
-13.943,131.191,6,2021,1
-13.943,131.192,6,2021,1
-13.942,130.867,6,2021,1
-13.942,130.868,6,2021,1
-13.942,131.188,6,2021,2
-13.942,131.19,6,2021,1
-13.941,130.84,6,2021,1
-13.941,130.869,6,2021,2
-13.941,130.87,6,2021,1
-13.941,130.871,6,2021,2
-13.941,131.185,6,2021,1
-13.941,131.187,6,2021,2
-13.94,130.84,6,2021,1
-13.94,130.873,6,2021,6
-13.939,130.874,6,2021,10
-13.939,131.183,6,2021,1
-13.939,131.184,6,2021,1
-13.938,130.84,6,2021,3
-13.936,131.182,6,2021,2
-13.935,131.181,6,2021,1
-13.934,130.876,6,2021,1
-13.934,131.182,6,2021,1
-13.933,130.841,6,2021,2
-13.933,130.876,6,2021,1
-13.933,131.182,6,2021,2
-13.932,130.841,6,2021,1
-13.932,130.876,6,2021,1
-13.932,131.182,6,2021,1
-13.931,130.842,6,2021,1
-13.931,130.876,6,2021,1
-13.931,131.182,6,2021,1
-13.931,131.183,6,2021,1
-13.929,131.184,6,2021,1
-13.928,131.186,6,2021,2
-13.927,130.841,6,2021,2
-13.927,130.877,6,2021,1
-13.927,131.188,6,2021,1
-13.927,131.189,6,2021,1
